"","y_hat"
"1",0.0193445584388699
"2",0.0141281701795107
"3",0.0125496053780888
"4",0.0238197009780949
"5",0.0166728472075442
"6",0.0106175967811628
"7",0.0110489696640374
"8",0.0136925735582434
"9",0.0161714593236288
"10",0.0218787918251262
"11",0.0131107998303884
"12",0.0155642400101525
"13",0.00993393031633439
"14",0.000261080563299345
"15",-0.00150150885371917
"16",-0.0166649335099496
"17",-0.0163394950951024
"18",0.00380829061020804
"19",0.00612021550634921
"20",0.00507028603247587
"21",0.00993626952963401
"22",0.0123879465187539
"23",-0.00918550657993283
"24",-0.00892859366840702
"25",-0.0255139196434782
"26",-0.027318079982675
"27",-0.0259841268113024
"28",-0.00773126066008468
"29",0.00669402321829729
"30",-0.00812703798119468
