"","y_hat"
"1",0.0756420608090663
"2",0.082697260553807
"3",0.082869823022834
"4",0.0844309363595188
"5",0.0785061717171945
"6",0.0733977120769752
"7",0.040795738274752
"8",0.0502049584875084
"9",0.0583854521739144
"10",0.063542281980986
"11",0.0678154820768936
"12",0.0614232408460227
"13",0.0414678260601326
"14",0.00105911012000782
"15",-0.0124956851717782
"16",-0.0259443834112972
"17",-0.0237952886235041
"18",0.0064784885990535
"19",0.0246062998597545
"20",0.0230805958698876
"21",0.0374675617064116
"22",0.0217729434163602
"23",0.0077232173318417
"24",0.0022393019049057
"25",-0.0475210450617505
"26",-0.0769277745176621
"27",-0.0598977307914115
"28",-0.0229755155731076
"29",-0.00791111452686552
"30",0.00554193956983234
